2020-04-03 17:12:44 status unpacked libdb5.3:amd64 5.3.28-13.1ubuntu1
2020-04-03 17:12:44 install libdebconfclient0:amd64 <none> 0.213ubuntu1
2020-04-03 17:12:44 status half-installed libdebconfclient0:amd64 0.213ubuntu1
2020-04-03 17:12:44 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-04-03 17:12:44 status unpacked libdebconfclient0:amd64 0.213ubuntu1
2020-04-03 17:12:44 install libext2fs2:amd64 <none> 1.44.1-1
2020-04-03 17:12:44 status half-installed libext2fs2:amd64 1.44.1-1
2020-04-03 17:12:44 status unpacked libext2fs2:amd64 1.44.1-1
2020-04-03 17:12:44 status unpacked libext2fs2:amd64 1.44.1-1
2020-04-03 17:12:44 install libfdisk1:amd64 <none> 2.31.1-0.4ubuntu3
2020-04-03 17:12:44 status half-installed libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-04-03 17:12:44 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-04-03 17:12:44 status unpacked libfdisk1:amd64 2.31.1-0.4ubuntu3
2020-04-03 17:12:44 install libgcc1:amd64 <none> 1:8-20180414-1ubuntu2
2020-04-03 17:12:44 status half-installed libgcc1:amd64 1:8-20180414-1ubuntu2
2020-04-03 17:12:44 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-04-03 17:12:44 status unpacked libgcc1:amd64 1:8-20180414-1ubuntu2
2020-04-03 17:12:44 install libgcrypt20:amd64 <none> 1.8.1-4ubuntu1
2020-04-03 17:12:44 status half-installed libgcrypt20:amd64 1.8.1-4ubuntu1
2020-04-03 17:12:44 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-04-03 17:12:44 status unpacked libgcrypt20:amd64 1.8.1-4ubuntu1
2020-04-03 17:12:44 install libgpg-error0:amd64 <none> 1.27-6
2020-04-03 17:12:44 status half-installed libgpg-error0:amd64 1.27-6
2020-04-03 17:12:44 status unpacked libgpg-error0:amd64 1.27-6
2020-04-03 17:12:44 status unpacked libgpg-error0:amd64 1.27-6
2020-04-03 17:12:44 install liblz4-1:amd64 <none> 0.0~r131-2ubuntu3
2020-04-03 17:12:44 status half-installed liblz4-1:amd64 0.0~r131-2ubuntu3
2020-04-03 17:12:44 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-04-03 17:12:44 status unpacked liblz4-1:amd64 0.0~r131-2ubuntu3
2020-04-03 17:12:44 install liblzma5:amd64 <none> 5.2.2-1.3
2020-04-03 17:12:44 status half-installed liblzma5:amd64 5.2.2-1.3
2020-04-03 17:12:44 status unpacked liblzma5:amd64 5.2.2-1.3
2020-04-03 17:12:44 status unpacked liblzma5:amd64 5.2.2-1.3
2020-04-03 17:12:44 install libmount1:amd64 <none> 2.31.1-0.4ubuntu3
2020-04-03 17:12:44 status half-installed libmount1:amd64 2.31.1-0.4ubuntu3
2020-04-03 17:12:44 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2020-04-03 17:12:44 status unpacked libmount1:amd64 2.31.1-0.4ubuntu3
2020-04-03 17:12:44 install libncurses5:amd64 <none> 6.1-1ubuntu1
2020-04-03 17:12:44 status half-installed libncurses5:amd64 6.1-1ubuntu1
2020-04-03 17:12:44 status unpacked libncurses5:amd64 6.1-1ubuntu1
2020-04-03 17:12:44 status unpacked libncurses5:amd64 6.1-1ubuntu1
2020-04-03 17:12:44 install libncursesw5:amd64 <none> 6.1-1ubuntu1
2020-04-03 17:12:44 status half-installed libncursesw5:amd64 6.1-1ubuntu1
